i: 4, j: 1, k: 1, count: 1
i: 4, j: 1, k: 2, count: 2
i: 4, j: 1, k: 4, count: 3
i: 4, j: 1, k: 8, count: 4
i: 4, j: 2, k: 1, count: 5
i: 4, j: 2, k: 2, count: 6
i: 4, j: 2, k: 4, count: 7
i: 4, j: 2, k: 8, count: 8
i: 4, j: 4, k: 1, count: 9
i: 4, j: 4, k: 2, count: 10
i: 4, j: 4, k: 4, count: 11
i: 4, j: 4, k: 8, count: 12
i: 4, j: 8, k: 1, count: 13
i: 4, j: 8, k: 2, count: 14
i: 4, j: 8, k: 4, count: 15
i: 4, j: 8, k: 8, count: 16
i: 5, j: 1, k: 1, count: 17
i: 5, j: 1, k: 2, count: 18
i: 5, j: 1, k: 4, count: 19
i: 5, j: 1, k: 8, count: 20
i: 5, j: 2, k: 1, count: 21
i: 5, j: 2, k: 2, count: 22
i: 5, j: 2, k: 4, count: 23
i: 5, j: 2, k: 8, count: 24
i: 5, j: 4, k: 1, count: 25
i: 5, j: 4, k: 2, count: 26
i: 5, j: 4, k: 4, count: 27
i: 5, j: 4, k: 8, count: 28
i: 5, j: 8, k: 1, count: 29
i: 5, j: 8, k: 2, count: 30
i: 5, j: 8, k: 4, count: 31
i: 5, j: 8, k: 8, count: 32
i: 6, j: 1, k: 1, count: 33
i: 6, j: 1, k: 2, count: 34
i: 6, j: 1, k: 4, count: 35
i: 6, j: 1, k: 8, count: 36
i: 6, j: 2, k: 1, count: 37
i: 6, j: 2, k: 2, count: 38
i: 6, j: 2, k: 4, count: 39
i: 6, j: 2, k: 8, count: 40
i: 6, j: 4, k: 1, count: 41
i: 6, j: 4, k: 2, count: 42
i: 6, j: 4, k: 4, count: 43
i: 6, j: 4, k: 8, count: 44
i: 6, j: 8, k: 1, count: 45
i: 6, j: 8, k: 2, count: 46
i: 6, j: 8, k: 4, count: 47
i: 6, j: 8, k: 8, count: 48
i: 7, j: 1, k: 1, count: 49
i: 7, j: 1, k: 2, count: 50
i: 7, j: 1, k: 4, count: 51
i: 7, j: 1, k: 8, count: 52
i: 7, j: 2, k: 1, count: 53
i: 7, j: 2, k: 2, count: 54
i: 7, j: 2, k: 4, count: 55
i: 7, j: 2, k: 8, count: 56
i: 7, j: 4, k: 1, count: 57
i: 7, j: 4, k: 2, count: 58
i: 7, j: 4, k: 4, count: 59
i: 7, j: 4, k: 8, count: 60
i: 7, j: 8, k: 1, count: 61
i: 7, j: 8, k: 2, count: 62
i: 7, j: 8, k: 4, count: 63
i: 7, j: 8, k: 8, count: 64
i: 8, j: 1, k: 1, count: 65
i: 8, j: 1, k: 2, count: 66
i: 8, j: 1, k: 4, count: 67
i: 8, j: 1, k: 8, count: 68
i: 8, j: 2, k: 1, count: 69
i: 8, j: 2, k: 2, count: 70
i: 8, j: 2, k: 4, count: 71
i: 8, j: 2, k: 8, count: 72
i: 8, j: 4, k: 1, count: 73
i: 8, j: 4, k: 2, count: 74
i: 8, j: 4, k: 4, count: 75
i: 8, j: 4, k: 8, count: 76
i: 8, j: 8, k: 1, count: 77
i: 8, j: 8, k: 2, count: 78
i: 8, j: 8, k: 4, count: 79
i: 8, j: 8, k: 8, count: 80
